InterviewID,I agree to participate in this survey and consent to the use of my data as described.,Which of the following skills are most critical for a manager or a specialist role? Please provide rating of importance from a scale of 1 - 5 for each skill mentioned? [Communication],Which of the following skills are most critical for a manager or a specialist role? Please provide rating of importance from a scale of 1 - 5 for each skill mentioned? [Conflict resolution],Which of the following skills are most critical for a manager or a specialist role? Please provide rating of importance from a scale of 1 - 5 for each skill mentioned? [Emotional intelligence],Which of the following skills are most critical for a manager or a specialist role? Please provide rating of importance from a scale of 1 - 5 for each skill mentioned? [Technical skills],Which of the following skills are most critical for a manager or a specialist role? Please provide rating of importance from a scale of 1 - 5 for each skill mentioned? [People management],Which of the following skills are most critical for a manager or a specialist role? Please provide rating of importance from a scale of 1 - 5 for each skill mentioned? [Leadership],How effective do you find the current training methods for line managers on a scale of 1 to 5?,"On a scale of 1 to 5, how important is emotional intelligence in your role as a manager of early talent?",What types of additional support do you believe would enhance your ability to manage early talent? (Select all that apply),What training formats do you find most effective for managing early talent? (Select up to two),Which areas do you need more support from your organisation to effectively manage early talent? (Select all that apply),"Could you describe a challenge you've faced in managing early talent any suggestions for improving line manager training programs, including micro-learning and support structures at your organisation? (Optional)",What is your age?,What is your gender?,Years of Experience as a Line Manager?,In which industry do you primarily work?
1,,5,4,4,3,4,5,3,,"More flexible management tools, Access to one-off training sessions","In-person workshops, Peer-to-peer learning sessions, Micro-learning modules","Adaptive leadership techniques, Access to micro-learning and other modern training methods, Development of softer skills, such as communication and empathy",,25-34,Male,1-3 years,Technology
2,,4,5(Most effective),4,2,4,4,2,,"Access to ongoing training programs, Regular feedback from HR, managers, and team members, Access to one-off training sessions","In-person workshops, Interactive simulations, Peer-to-peer learning sessions, Micro-learning modules","Career development planning, Conflict management, Adaptive leadership techniques, Access to micro-learning and other modern training methods, Understanding generational differences, Development of softer skills, such as communication and empathy",,,Male,1-3 years,Education
3,,5(Most effective),4,5(Most effective),3,5(Most effective),5(Most effective),4,,"Access to ongoing training programs, Regular feedback from HR, managers, and team members, Access to one-off training sessions","In-person workshops, Micro-learning modules","Conflict management, Understanding generational differences",,,Male,4-6 years,Technology
4,,5(Most effective),4,4,2,2,3,4,,"Regular feedback from HR, managers, and team members, Peer mentoring and support groups","In-person workshops, Peer-to-peer learning sessions","Conflict management, Adaptive leadership techniques, Understanding generational differences","The biggest challenge is consistency. It's difficult to train managers on how to manage every possible scenario that they could encounter with Early Talent. Many managers have limited exposure to early talent and the generational differences, so they need a lot of support from the business. We offer workshops in person and virtually. For the first 3 months, we have regular check ins and then follow up every six months to ensure managers feel supported. We have an Early Careers hub internally which is used for managers or Grads to have easy access to information - this is beneficial for managing early talent on a day to day basis.",,Female,1-3 years,Technology
5,,5(Most effective),5(Most effective),5(Most effective),4,5(Most effective),5(Most effective),5,,"Regular feedback from HR, managers, and team members, Peer mentoring and support groups","In-person workshops, Interactive simulations, Peer-to-peer learning sessions","Career development planning, Adaptive leadership techniques, Understanding generational differences, Development of softer skills, such as communication and empathy",,,Male,7-10 years,Finance
6,,3,2,3,2,3,3,3,,"Access to ongoing training programs, Peer mentoring and support groups, More flexible management tools","In-person workshops, Peer-to-peer learning sessions, Micro-learning modules","Career development planning, Conflict management, Adaptive leadership techniques",,,Female,1-3 years,Technology
7,,4,4,4,4,4,4,5,,"Regular feedback from HR, managers, and team members, Peer mentoring and support groups","Interactive simulations, Peer-to-peer learning sessions","Adaptive leadership techniques, Access to micro-learning and other modern training methods, Understanding generational differences, Development of softer skills, such as communication and empathy",,,Male,7-10 years,Finance
8,,3,2,3,3,3,3,4,,"Access to ongoing training programs, Regular feedback from HR, managers, and team members, Peer mentoring and support groups","Interactive simulations, Peer-to-peer learning sessions","Career development planning, Access to micro-learning and other modern training methods, Development of softer skills, such as communication and empathy",,,Male,More than 10 years,Hospitality
9,,5(Most effective),4,3,5(Most effective),5(Most effective),5(Most effective),4,,"Access to ongoing training programs, Regular feedback from HR, managers, and team members, Peer mentoring and support groups, Access to one-off training sessions","Online modules (considering potential issues such as length and engagement), Peer-to-peer learning sessions","Career development planning, Understanding generational differences",,,Male,More than 10 years,Telecom 
10,,5(Most effective),5(Most effective),4,4,5(Most effective),5(Most effective),4,,"Regular feedback from HR, managers, and team members, Peer mentoring and support groups, Access to one-off training sessions","Online modules (considering potential issues such as length and engagement), Peer-to-peer learning sessions","Career development planning, Conflict management, Development of softer skills, such as communication and empathy",,,Male,4-6 years,Technology
11,,3,3,3,3,3,3,5,,Access to ongoing training programs,In-person workshops,Access to micro-learning and other modern training methods,,,Male,7-10 years,Technology
12,,5(Most effective),4,5(Most effective),3,5(Most effective),5(Most effective),4,,"Access to ongoing training programs, Peer mentoring and support groups, More flexible management tools, Access to one-off training sessions","Interactive simulations, Peer-to-peer learning sessions","Career development planning, Conflict management, Adaptive leadership techniques, Development of softer skills, such as communication and empathy",,,Female,1-3 years,Marketing
13,,4,4,4,4,4,4,3,,"Regular feedback from HR, managers, and team members, Peer mentoring and support groups","In-person workshops, Interactive simulations, Micro-learning modules","Career development planning, Access to micro-learning and other modern training methods, Understanding generational differences",,,Male,1-3 years,Retail
14,,5(Most effective),3,4,4,5(Most effective),5(Most effective),3,,"Regular feedback from HR, managers, and team members, More flexible management tools","Interactive simulations, Peer-to-peer learning sessions, Micro-learning modules","Career development planning, Development of softer skills, such as communication and empathy",,,Non-binary/Third gender,1-3 years,Technology
